Food Name,Category,GI,Carbs
"Cupcake, strawberry-iced",Bakery Products,73.0,22.0
Gingerbread,Bakery Products,81.0,24.0
Gingerbread,Bakery Products,88.0,26.0
Gingerbread,Bakery Products,89.0,27.0
Muffin made with corn flour,Bakery Products,74.0,22.0
Muffin made with wheat flour,Bakery Products,74.0,22.0
Muffin made with rice flour,Bakery Products,79.0,24.0
"Pancakes, millet (100% foxtail millet flour)",Bakery Products,76.0,23.0
"Pancakes, prepared from wheat flour",Bakery Products,80.0,24.0
"Pancakes, millet (75% foxtail millet flour, 25% extrusion flour (w/w, dry basis)",Bakery Products,83.0,25.0
"Pancakes, buckwheat, gluten-free, made from packet mix",Bakery Products,102.0,31.0
Doughnut,Bakery Products,75.0,23.0
"Pikelets, Golden brand",Bakery Products,85.0,26.0
"Scones, plain, made from packet mix",Bakery Products,92.0,28.0
Beer (4.5% alcohol by volume) (Nikolai Lager),Beverages,119.0,12.0
"Beer (4.4% alcohol by volume), Pilsner Urquell®",Beverages,89.0,9.0
"Beer, non-alcoholic (0.0% alcohol by volume) (Nikolai Lager)",Beverages,80.0,8.0
"Coca Cola®, soft drink",Beverages,73.0,18.0
"Cola, Pepsi®, sucrose-sweetened",Beverages,72.0,18.0
"Fruit drink, increased GI variant (containing 8% sucrose)",Beverages,86.0,22.0
"Ice Lemon Tea, ready-to-drink black tea with lemon flavor",Beverages,74.0,19.0
"Iced lemon tea, lemon juice powder 0.2%",Beverages,72.0,18.0
"Iced peach tea, 9.5% peach juice",Beverages,71.0,18.0
"Rice milk drink, low-fat, Australia's Own Natural™",Beverages,92.0,23.0
"Rice milk, low-fat, calcium enriched, Vitasoy®",Beverages,79.0,20.0
English Muffin™ bread,Breads,77.0,12.0
Fruit and cinnamon bread,Breads,71.0,11.0
"Multigrain bread, gluten-free",Breads,79.0,12.0
Linola seed bread,Breads,90.0,14.0
"Mixed grain sandwich bread, Molenberg™",Breads,75.0,11.0
"Whole grain bread, Stay Trim™",Breads,70.0,11.0
"Bread, short oat (50% wholemeal wheat, 20% rye, 10% oatmeal, 20% white wheat, yeast (1.3% net flour weight), no rising time, 30 min proving time, 220°C baking temperature, 30 min bake",Breads,77.0,12.0
Soft pretzel,Breads,80.0,12.0
"Rice bread, low-amylose Calrose rice",Breads,72.0,11.0
"Bread, long rye (50% wholemeal wheat, 30% rye, 20% white wheat, yeast (13% net flour weight), 20 min rising time, 30 min proving time, 220°C baking temperature, 30 min bake time",Breads,76.0,11.0
"Bread, short rye (50% wholemeal wheat, 30% rye, 20% white wheat, yeast (1.3% net flour weight), no rising time, 30 min proving time, 220°C baking temperature, 30 min bake time",Breads,82.0,12.0
Sourdough Cob Bread,Breads,77.0,12.0
"Sourdough bread (50% wholemeal wheat, 50% white wheat, sourdough starter (70% wet weight), 80 min rising time, 60 min proving time, 200°C baking temperature, 60 min baking time",Breads,82.0,12.0
"Sourdough bread + oats (50% wholemeal wheat, 50% white wheat, 10% rolled oats; sourdough starter (70% wet weight), 80 min rising time, 60 min proving time, 200°C baking temperature, 60 min baking time",Breads,71.0,11.0
"White bread, WonderWhite™",Breads,70.0,11.0
"White bread, WonderWhite™, tested by subjects with a low AMY1 copy number",Breads,70.0,11.0
"White bread, Sunblest™",Breads,70.0,11.0
White bread,Breads,71.0,11.0
White bread,Breads,71.0,11.0
White bread,Breads,71.0,11.0
White bread (Original White Bread),Breads,71.0,11.0
"Wheat bread, bite-sized, soft wheat flour",Breads,71.0,11.0
White bread,Breads,72.0,11.0
White bread,Breads,72.0,11.0
White bread,Breads,74.0,11.0
White bread,Breads,75.0,11.0
White bread,Breads,75.0,11.0
White bread (Vodova veka Penam),Breads,75.0,11.0
White bread,Breads,76.0,11.0
White bread,Breads,76.0,11.0
"White bread, containing 9% sourdough, baked for 30 min at 210°C",Breads,76.0,11.0
White bread,Breads,76.0,11.0
"Wheat bread, sliced (Harry's)",Breads,76.0,11.0
White bread,Breads,78.0,12.0
"White bread, WonderWhite™, tested by subjects with a high AMY1 copy number",Breads,81.0,12.0
White bread,Breads,83.0,12.0
White bread,Breads,83.0,12.0
Wheat bread,Breads,84.0,13.0
White bread (lab made),Breads,87.0,13.0
White bread,Breads,88.0,13.0
"Baguette, Whole Grain, President's Choice® Blue Menu™",Breads,73.0,11.0
"Bread, bakery made from an industrial mix for bread preparation",Breads,72.0,11.0
"Bread, bakery made from an industrial mix for bread preparation",Breads,87.0,13.0
"White bread, candeal-flour",Breads,86.0,13.0
"Enriched white bread, Wonder™",Breads,71.0,11.0
"Enriched white bread, Wonder™",Breads,72.0,11.0
"Enriched white bread, Wonder™",Breads,77.0,12.0
"Bread, sliced, soft wheat flour, extra virgin olive oil",Breads,73.0,11.0
White bread (100% wheat flour) + 2% pectin,Breads,86.0,13.0
White bread (100% wheat flour) + 5% fruit fiber,Breads,77.0,12.0
White bread (80% wheat flour + 20% chickpea flour),Breads,80.0,12.0
White bread (90% wheat flour + 10% modified corn starch),Breads,79.0,12.0
White bread (90% wheat flour + 10% tapioca starch),Breads,78.0,12.0
White bread (95% wheat flour + 5% oat bran),Breads,75.0,11.0
"White bread, containing 2% vinegar and 2.5% sourdough",Breads,80.0,12.0
"White bread, fiber-enriched, Fiber White™",Breads,77.0,12.0
White bread (10% of white bread flour was substituted by resistant starch from tapioca),Breads,70.0,11.0
"White bread, prepared with a 30 min prove and a second 12 min proving (moderate loaf volume)",Breads,72.0,11.0
"White bread, prepared with a 60 min prove and a second 30 min proving (moderate loaf volume)",Breads,86.0,13.0
"White bread, prepared with a 40 min prove, a second 25 min proving and a third 50 min proving (large loaf volume)",Breads,100.0,15.0
"Western baked bread, made with high protein flour (15 min resting time, 70 min proving time, 11 min baking at 210°C)",Breads,71.0,11.0
"White bread, pre-cooked frozen, baked 16 min at 180°C, cooled at 30°C for 18 min; frozen at -30°C for 30 min; preserved at -18°C; 2nd baking at 230°C for 12 min13",Breads,78.0,12.0
"Modified baked bread made with steamed bread recipe, made with medium protein flour (15 min resting time, 70 min proving time, 11 min baking at 210°C)",Breads,75.0,11.0
Wholemeal flour bread,Breads,75.0,11.0
"Wholemeal flour bread, short wholemeal (50% whole meal wheat, 50% white wheat, Baker’s yeast (1.3% net flour weight), no rising time, 30 min proving time, 220°C baking temperature, 30 min baking time",Breads,78.0,12.0
"Wholemeal bread, long whole meal (50% whole meal wheat, 50% white wheat, Baker’s yeast (13% net flour weight), 20 min rising time, 30 min proving time, 220°C baking temperature, 30 min baking time",Breads,80.0,12.0
Wholemeal bread,Breads,85.0,13.0
"Wholemeal bread, yeast (50% wholemeal wheat, 50% white wheat, Baker’s yeast (15% dry weight), 60 min rising time, 40 min proving time, 200°C baking temperature, 40-50 min baking time",Breads,88.0,13.0
"Bread, desem (50% whole meal wheat, 50% white wheat), baker’s yeast (15% dry weight), desem (15% wet weight), 60 min rising time, 40 min proving time, 200°C baking temperature, 40-50 min baking time",Breads,92.0,14.0
"Lebanese bread, white",Breads,75.0,11.0
"Naan bread, heated in microwave for 25 sec",Breads,71.0,11.0
Pumpkin Cob Gourmet Bread,Breads,85.0,13.0
Steamed wheat bread,Breads,88.0,13.0
"Barley bread, containing 40% barley flour and 60% wheat flour, separate proving of wheat dough",Breads,72.0,11.0
"Millet steamed bread (75% foxtail-millet flour and 25% extrusion flour (w/w, dry basis)",Breads,90.0,14.0
Bran Flakes™,Breastfast Cereals,74.0,15.0
"Chocapic™, wheat-based flaked cereal",Breastfast Cereals,70.0,14.0
"Chocapic™, wheat-based flaked cereal",Breastfast Cereals,74.0,15.0
"Chocapic™, wheat-based flaked cereal",Breastfast Cereals,84.0,17.0
Cornflakes,Breastfast Cereals,74.0,15.0
Cornflakes,Breastfast Cereals,77.0,15.0
Cornflakes,Breastfast Cereals,77.0,15.0
Cornflakes,Breastfast Cereals,79.0,16.0
"Cornflakes, tested in older adults (56-86 y)",Breastfast Cereals,81.0,16.0
Cornflakes,Breastfast Cereals,82.0,16.0
Cornflakes,Breastfast Cereals,93.0,19.0
Cornflakes,Breastfast Cereals,105.0,21.0
"Cornflakes, Crunchy Nut™",Breastfast Cereals,72.0,14.0
"Granola Clusters, Raisin & Almond, low fat, President’s Choice® Blue Menu™",Breastfast Cereals,70.0,14.0
Muesli,Breastfast Cereals,86.0,17.0
"Instant oats, cooked in microwave for 2.5 min",Breastfast Cereals,76.0,15.0
"Instant oat porridge, cooked in microwave with water",Breastfast Cereals,82.0,16.0
"Instant oat cereal porridge, prepared with water",Breastfast Cereals,83.0,17.0
"Instant oat porridge, prepared with water, cooked",Breastfast Cereals,87.0,17.0
"Oat porridge made from 0.5-0.6 mm thick rolled oat flakes, cooked for 10 min",Breastfast Cereals,76.0,15.0
Rice Bubbles™,Breastfast Cereals,85.0,17.0
Rice Bubbles™,Breastfast Cereals,92.0,18.0
"Special K™, made from rice",Breastfast Cereals,84.0,17.0
Whole wheat Goldies™,Breastfast Cereals,70.0,14.0
Wheat based cereal biscuits,Breastfast Cereals,72.0,14.0
Wheat flake cereal biscuits,Breastfast Cereals,76.0,15.0
Honey Goldies™,Breastfast Cereals,72.0,14.0
"Lite-Bix™, plain, no added sugar",Breastfast Cereals,70.0,14.0
Wheat flake cereal biscuits with 1.4 g Filtered Molasses Concentrate added per 100 g (2.08 g FMC/100 g carbohydrate),Breastfast Cereals,72.0,14.0
Wheat flake cereal biscuits with 2.0 g Filtered Molasses Concentrate added per 100g (2.98 g FMC/100 g carbohydrate),Breastfast Cereals,70.0,14.0
Wheat flakes,Breastfast Cereals,73.0,15.0
Coco Pops™,Breastfast Cereals,77.0,15.0
Corn Pops™,Breastfast Cereals,80.0,16.0
Crunchola Apple & Cinnamon Oat & Fruit,Breastfast Cereals,70.0,14.0
"Energy Mix™, wheat-based flaked cereal",Breastfast Cereals,80.0,16.0
"Fruity-Bix™, berry",Breastfast Cereals,113.0,23.0
Golden Wheats™,Breastfast Cereals,71.0,14.0
Grapenuts™,Breastfast Cereals,75.0,15.0
Honey Rice Bubbles™,Breastfast Cereals,77.0,15.0
Honey Smacks™,Breastfast Cereals,71.0,14.0
"Mini Wheats™, blackcurrant",Breastfast Cereals,72.0,14.0
Oat 'n Honey Bake™,Breastfast Cereals,77.0,15.0
Wheat flakes,Breastfast Cereals,73.0,15.0
"Apricot Breakfast Bar, chewy",Breastfast Cereals,85.0,17.0
Crunchy Nut Cornflakes™ bar,Breastfast Cereals,72.0,14.0
K-Time Just Right™ bar,Breastfast Cereals,72.0,14.0
K-Time Strawberry Crunch™ bar,Breastfast Cereals,77.0,15.0
"Adlay, Chinese pearl barley (Coix lachryma-Jobi L.), boiled in water for 28 min",Cereal Grains,78.0,35.0
"100% waxy corn starch (Amioca™ powder, Ingredion), prepared as a gel with water, heated in microwave for 90 sec",Cereal Grains,92.0,41.0
"100% waxy corn starch (Ultra-Sperse™powder, Ingredion), prepared as a gel with water, heated in microwave for 90 sec",Cereal Grains,101.0,45.0
"Unpolished little millet, plain cooked",Cereal Grains,89.0,40.0
"Unpolished foxtail millet, plain cooked",Cereal Grains,89.0,40.0
Foxtail millet porridge (millet:water ratio 1:9),Cereal Grains,94.0,42.0
"Basmati, brown (unpolished milled basmati rice), cooked for 25 min",Cereal Grains,75.0,34.0
"Basmati, easy-cook (heat-treated white, polished basmati rice), cooked 15 min",Cereal Grains,80.0,36.0
"Jasmine rice, steamed for 30 min",Cereal Grains,76.0,34.0
"Jasmine Fragrant rice, white, SunRice brand",Cereal Grains,79.0,36.0
"Jasmine Fragrant rice, SunRice brand",Cereal Grains,80.0,36.0
"Jasmine rice, cooked in rice cooker, SunRice brand",Cereal Grains,80.0,36.0
Jasmine long grain rice,Cereal Grains,82.0,37.0
Jasmine white rice (Uncle Ben's Jasmine Rice),Cereal Grains,84.0,38.0
"Jasmine rice, white Thai (Double FP brand); chewed 30 times",Cereal Grains,88.0,40.0
"Jasmine Fragrant rice, white, SunRice brand",Cereal Grains,89.0,40.0
"Jasmine rice (Double FP Thai Hom Mali premium quality fragrant rice, Thailand)",Cereal Grains,90.0,41.0
"Jasmine rice (Double FP Thai Hom Mali premium quality fragrant rice, Thailand)",Cereal Grains,91.0,41.0
"Jasmine rice (Double FP Thai Hom Mali premium quality fragrant rice, Thailand)",Cereal Grains,92.0,41.0
"Rice, white, Thai Hom Mali fragrant rice, cooked in rice cooker",Cereal Grains,96.0,43.0
"Jasmine rice, Jazzmen, cooked in rice cooker",Cereal Grains,106.0,48.0
"Jasmine rice, white, cooked in rice cooker",Cereal Grains,109.0,49.0
"Jasmine rice, Mahatma, cooked in rice cooker",Cereal Grains,115.0,52.0
"Jasmine rice, Reindeer, cooked in rice cooker",Cereal Grains,116.0,52.0
"Brown rice, boiled in excess water for 25 min, SunRice brand",Cereal Grains,72.0,32.0
Brown rice,Cereal Grains,87.0,39.0
"Brown rice, SunRice brand",Cereal Grains,78.0,35.0
"Long grain, boiled (Star Brand)",Cereal Grains,76.0,34.0
"Instant Doongara, white, cooked 5 min",Cereal Grains,94.0,42.0
"Instant rice, white, cooked 6 min",Cereal Grains,87.0,39.0
"Long Grain White Rice in 90 Seconds, microwaved, SunRice brand,",Cereal Grains,76.0,34.0
"Medium grain white rice, boiled 12 min (Sun Rice brand)",Cereal Grains,75.0,34.0
"White rice, NS",Cereal Grains,83.0,37.0
"White rice, fully polished, prepared from the Indian rice variety ""Bapatla"" (BPT-5204), pressure cooked for 18 min",Cereal Grains,80.0,36.0
"White rice, Ponni, cooked in rice cooker for 33 min",Cereal Grains,70.0,32.0
"White rice, Ponni, refined, harvested 2013, pressure-cooked for 30 min",Cereal Grains,81.0,36.0
"White rice, Ponni, refined, harvested 2014, pressure-cooked for 30 min",Cereal Grains,77.0,35.0
"White rice, Sona Masuri variety, cooked in rice cooker for 35 min",Cereal Grains,72.0,32.0
"White rice, Surti Kolam variety, cooked in rice cooker for 32 min",Cereal Grains,77.0,35.0
"Rice porridge, made with Jasmine rice, steamed for 40 min",Cereal Grains,80.0,36.0
"Rice porridge, NS",Cereal Grains,88.0,40.0
"Broken rice, white, cooked in rice cooker",Cereal Grains,86.0,39.0
"Glutinous rice, white, cooked in rice cooker",Cereal Grains,94.0,42.0
"Glutinous rice, white, cooked in rice cooker",Cereal Grains,98.0,44.0
"Japanese Style Sushi rice, white (SunRice brand)",Cereal Grains,85.0,38.0
"Koshihikari rice, white (SunRice brand)",Cereal Grains,73.0,33.0
"Red rice, Thai, unpolished, cooked 25 min",Cereal Grains,76.0,34.0
Sticky rice,Cereal Grains,87.0,39.0
Sticky rice,Cereal Grains,88.0,40.0
"Sticky rice, Thai glutinous rice, cooked for 10 min",Cereal Grains,92.0,41.0
"Rice, under milled, minimally polished 2.3%, prepared from the Indian rice variety ""Bapatla"" (BPT-5204), pressure cooked for 10 min",Cereal Grains,73.0,33.0
"Parboiled brown rice, Uncle Ben’s® Natural Wholegrain Instant brown rice, cooked for 20 min",Cereal Grains,88.0,40.0
"Parboiled, long grain, 20 min cooking time (Uncle Ben's)",Cereal Grains,75.0,34.0
"Parboiled rice, NS (Uncle Ben's)",Cereal Grains,72.0,32.0
"Parboiled rice, white, cooked 5 min, Uncle Ben's Snabbris®",Cereal Grains,74.0,33.0
"Wheat, pearled",Cereal Grains,72.0,32.0
Barquette Abricot,Cookies,71.0,14.0
"Biscuit, NS",Cookies,72.0,14.0
"Biscuit, thin, NS",Cookies,81.0,16.0
Petit brun extra,Cookies,77.0,15.0
Prince Energie+,Cookies,73.0,15.0
"Corn Thins, puffed corn cakes, gluten-free",Crackers,87.0,13.0
"Melba Toast/Rusk, whole-meal wheat flour (50.1%), soft wheat flour (Fette Biscottate Le Integrali, Mulino Bianco)",Crackers,73.0,11.0
"Puffed rice cakes, Calrose rice, low-amylose",Crackers,91.0,14.0
"Puffed rice cakes, caramel flavored",Crackers,82.0,12.0
"Rice cracker, plain",Crackers,91.0,14.0
Control dairy beverage,Dairy Products and Alternatives,70.0,7.0
"Breadfruit, roasted on preheated charcoal",Fruit and Fruit Products,72.0,11.0
"Dates, Maktoomi cultivar, Tamer stage",Fruit and Fruit Products,71.0,11.0
"Dates, Sellaj cultivar, Tamer stage",Fruit and Fruit Products,75.0,11.0
"Lychee, canned in syrup and drained, Narcissus brand",Fruit and Fruit Products,79.0,12.0
Peach (Prunus persica),Fruit and Fruit Products,76.0,11.0
"Pineapple, raw (Ananas comosa)",Fruit and Fruit Products,82.0,12.0
"Blueberry fruit spread, wild blueberry",Fruit and Fruit Products,74.0,11.0
"Farex™ baby rice, prepared with water",Infant Formula and Weaning Foods,74.0,7.0
"Farex™ baby rice, 7 g cereal with 80 g water",Infant Formula and Weaning Foods,95.0,10.0
"Organix™ organic wholegrain baby rice, prepared with water",Infant Formula and Weaning Foods,74.0,7.0
"Isocal, ready-to-drink",Nutrition Support Products,79.0,24.0
"Isocal, ready-to-drink",Nutrition Support Products,82.0,25.0
"Isocal, ready-to-drink",Nutrition Support Products,85.0,26.0
"Sport beverage based on oligosaccharides (low molecular weight carbohydrate), orange flavor",Nutrition Support Products,118.0,35.0
"Sport beverage based on hydrolyzed starch (high molecular weight carbohydrate), orange flavor",Nutrition Support Products,106.0,32.0
"Barley pasta (celebrity, whole grain fraction), cooked 5 min",Pasta and Noodles,71.0,28.0
"Barley pasta (AC Parkhill, whole grain fraction), cooked 5 min",Pasta and Noodles,73.0,29.0
"Corn pasta, gluten-free",Pasta and Noodles,78.0,31.0
"Rice and maize pasta, gluten-free, Ris'O'Mais",Pasta and Noodles,76.0,30.0
"Pennette rigate integrali, durum wheat wholemeal",Pasta and Noodles,73.0,29.0
Semolina pasta,Pasta and Noodles,78.0,31.0
"Apple Fruit Bar, fat-free, President's Choice® Blue Menu™",Snack Foods and Confectionery,90.0,23.0
"Fig Fruit bar, President's Choice® Blue Menu™",Snack Foods and Confectionery,70.0,18.0
"Fruit snack processed, Roll-Ups®",Snack Foods and Confectionery,99.0,25.0
"Raspberry Fruit bar, fat-free, President's Choice® Blue Menu™ (Loblaw Brands Limited, Canada)",Snack Foods and Confectionery,74.0,19.0
"Strawberry processed fruit bar, Real Fruit",Snack Foods and Confectionery,90.0,23.0
"Cheese Puffs, made from rice and corn puffs, aged white cheddar extruded snack, Pirate's Booty brand",Snack Foods and Confectionery,70.0,18.0
"Cheese Puffs, Pirates Booty brand",Snack Foods and Confectionery,74.0,19.0
"Rice and corn cheese flavored extruded snack, Twisties™",Snack Foods and Confectionery,74.0,19.0
"Brown rice chips with wild rice, gluten-free, SunRice™",Snack Foods and Confectionery,70.0,18.0
"Japanese Tamari Rice & Corn Crisps, President's Choice® Blue Menu™",Snack Foods and Confectionery,91.0,23.0
"Japanese Wasabi & Honey Rice & Corn Crisps, President's Choice® Blue Menu™",Snack Foods and Confectionery,82.0,21.0
"Prawn crackers, BBQ Rib flavor, Infuzions™, made from tapioca and wheat",Snack Foods and Confectionery,74.0,19.0
"Pretzels, oven-baked, traditional wheat flavor, 97% fat free (Parker's)",Snack Foods and Confectionery,84.0,21.0
"Thai Curry Rice & Corn Crisps, President's Choice® Blue Menu™",Snack Foods and Confectionery,84.0,21.0
"Microwave Popping Corn, butter flavor, President's Choice® Blue Menu™",Snack Foods and Confectionery,72.0,18.0
"Baked potato chips (Baked Lays, Original Potato Crisps)",Snack Foods and Confectionery,72.0,18.0
"Baked potato chips (Baked Lays, Original Potato Crisps)",Snack Foods and Confectionery,71.0,18.0
"Sunshine™ soy protein chips, lightly salted (Revival Soy®)",Snack Foods and Confectionery,87.0,22.0
Puffed rice squares,Snack Foods and Confectionery,77.0,19.0
"Jelly beans, assorted colors",Snack Foods and Confectionery,76.0,19.0
"Licorice, soft",Snack Foods and Confectionery,78.0,20.0
"Pop Tarts™, double choc",Snack Foods and Confectionery,70.0,18.0
Skittles®,Snack Foods and Confectionery,70.0,18.0
"Sorbet, lemon (Sorbetto al limone, Carte d’or)",Snack Foods and Confectionery,72.0,18.0
"Sour Straws, strawberry flavor, gummy/chewy confectionery",Snack Foods and Confectionery,76.0,19.0
"Cold-pressed bar, made with 22.1 g maltodextrin (Globe Plus 10 DE maltodextrin) and 21.8 g corn syrup (Globe Plus 63 DE Maltodextrin)",Snack Foods and Confectionery,93.0,23.0
